 순번 , 지자체명 , 업종 , 단계 , 구간시작(세제곱미터)  , 구간끝(세제곱미터)  , 구간금액(원)  , 단계별 기본요금(원)  
1, 동두천시 , 가정용 ,1,1,20,690,
2, 동두천시 , 가정용 ,2,21,30,1090,
3, 동두천시 , 가정용 ,3,31,999999,1530,
4, 동두천시 , 일반용 ,1,1,100,1410,
5, 동두천시 , 일반용 ,2,101,300,1480,
6, 동두천시 , 일반용 ,3,301,1000,1560,
7, 동두천시 , 일반용 ,4,1001,999999,1700,
8, 동두천시 , 일반용(미) ,1,1,1000,1090,
9, 동두천시 , 일반용(미) ,2,1001,9999999,1200,
10, 동두천시 , 전용공업용 ,1,1,999999,510,
11, 동두천시 , 발전용 ,1,1,999999,640,
12, 파주시 , 가정용 ,1,1,20,570,
13, 파주시 , 가정용 ,2,21,30,760,
14, 파주시 , 가정용 ,3,31,9999999,1110,
15, 파주시 , 일반용 ,1,1,50,1110,
16, 파주시 , 일반용 ,2,51,100,1330,
17, 파주시 , 일반용 ,3,101,300,1500,
18, 파주시 , 일반용 ,4,301,9999999,1620,
19, 파주시 , 대중목욕탕용 ,1,1,500,780,
20, 파주시 , 대중목욕탕용 ,2,501,1000,1050,
21, 파주시 , 대중목욕탕용 ,3,1001,2000,1160,
22, 파주시 , 대중목욕탕용 ,4,2001,9999999,1250,
23, 파주시 , 학교용 ,1,1,9999999,1110,
24, 광주시 , 가정용 ,1,1,20,400,
25, 광주시 , 가정용 ,2,21,30,570,
26, 광주시 , 가정용 ,3,31,9999999,920,
27, 광주시 , 일반용 ,1,1,50,890,
28, 광주시 , 일반용 ,2,51,100,1110,
29, 광주시 , 일반용 ,3,101,300,1250,
30, 광주시 , 일반용 ,4,301,500,1390,
31, 광주시 , 일반용 ,5,501,9999999,1470,
33, 광주시 , 대중탕용 ,1,1,1000,760,
34, 광주시 , 대중탕용 ,2,1001,1500,970,
35, 광주시 , 대중탕용 ,3,1501,2000,1110,
36, 광주시 , 대중탕용 ,4,2001,9999999,1220,
37, 양주시 , 가정용 ,1,1,10,539,
38, 양주시 , 가정용 ,2,11,20,879,
39, 양주시 , 가정용 ,3,21,999999,1218,
40, 양주시 , 일반용 ,1,1,75,1125,
41, 양주시 , 일반용 ,2,76,150,1488,
42, 양주시 , 일반용 ,3,151,999999999,1840,
43, 양주시 ,욕탕용,1,1,999999999,1312,
44, 양주시 ,전용공업용,1,1,999999999,726,
45, 단양군 , 가정용 ,1,1,20,890,
46, 단양군 , 가정용 ,2,21,30,1304,
47, 단양군 , 가정용 ,3,31,999999,2019,
48, 단양군 , 일반용(업) ,1,1,30,1956,
49, 단양군 , 일반용(업) ,2,31,50,2238,
50, 단양군 , 일반용(업) ,3,51,9999999,2694,
51, 단양군 , 일반용(영) ,1,1,30,1956,
52, 단양군 , 일반용(영) ,2,31,50,2238,
53, 단양군 , 일반용(영) ,3,51,100,2694,
54, 단양군 , 일반용(영) ,4,101,9999999,3757,
55, 단양군 , 혼합용(영) ,1,1,30,1956,
56, 단양군 , 혼합용(영) ,2,31,50,2238,
57, 단양군 , 혼합용(영) ,3,51,100,2694,
58, 단양군 , 혼합용(영) ,4,101,9999999,3757,
59, 단양군 , 혼합용(업) ,1,1,30,1956,
60, 단양군 , 혼합용(업) ,2,31,50,2238,
61, 단양군 , 혼합용(업) ,3,51,9999999,2694,
62, 단양군 , 욕탕1종 ,1,1,200,1193,
63, 단양군 , 욕탕1종 ,2,201,300,1630,
64, 단양군 , 욕탕1종 ,3,301,500,2390,
65, 단양군 , 욕탕1종 ,4,501,999999,2868,
66, 서산시 , 가정용 ,1,1,20,800,
67, 서산시 , 가정용 ,2,21,30,1080,
68, 서산시 , 가정용 ,3,31,999999,1680,
69, 서산시 , 일반용 ,1,1,50,1200,
70, 서산시 , 일반용 ,2,51,100,1710,
71, 서산시 , 일반용 ,3,101,300,1930,
72, 서산시 , 일반용 ,4,301,500,2380,
73, 서산시 , 일반용 ,5,501,999999,3110,
74, 서산시 , 전용공업용 ,1,1,999999,810,
75, 서산시 , 대중탕용 ,1,1,500,1140,
76, 서산시 , 대중탕용 ,2,501,1000,1610,
77, 서산시 , 대중탕용 ,3,1001,1500,1790,
78, 서산시 , 대중탕용 ,4,1501,999999,1950,
79, 서산시 , 산업단지용 ,1,1,50,1200,
80, 서산시 , 산업단지용 ,2,51,999999,1710,
81, 서산시 , 산업용(침) ,1,1,200,500,
82, 서산시 , 산업용(침) ,2,201,999999,600,
83, 서산시 , 학교용 ,1,1,50,1200,
84, 서산시 , 학교용 ,2,51,999999,1710,
85, 서산시 , 항만(선박용) ,1,1,50,1200,
86, 서산시 , 항만(선박용) ,2,51,100,1710,
87, 서산시 , 항만(선박용) ,3,101,300,1930,
88, 서산시 , 항만(선박용) ,4,301,999999,2380,
89, 논산시 , 가정용 ,1,1,20,590,
90, 논산시 , 가정용 ,2,21,30,1060,
91, 논산시 , 가정용 ,3,31,9999999,1530,
92, 논산시 , 일반용 ,1,1,100,1350,
93, 논산시 , 일반용 ,2,101,300,1680,
94, 논산시 , 일반용 ,3,301,1000,2050,
95, 논산시 , 일반용 ,4,1001,2000,2390,
96, 논산시 , 일반용 ,5,2001,9999999,2700,
97, 논산시 , 특수일반용 ,1,1,100,1350,
98, 논산시 , 특수일반용 ,2,101,300,1680,
99, 논산시 , 특수일반용 ,3,301,1000,2050,
100, 논산시 , 특수일반용 ,4,1001,2000,2390,
101, 논산시 , 특수일반용 ,5,2001,9999999,2700,
102, 논산시 , 욕탕용 ,1,1,1000,1070,
103, 논산시 , 욕탕용 ,2,1001,1500,1550,
104, 논산시 , 욕탕용 ,3,1501,2000,1890,
105, 논산시 , 욕탕용 ,4,2001,9999999,2220,
106, 논산시 , 산업용 ,1,1,100,1350,
107, 논산시 , 산업용 ,2,101,9999999,1680,
108, 금산군 , 가정용 ,1,1,20,540,
109, 금산군 , 가정용 ,2,21,40,670,
110, 금산군 , 가정용 ,3,41,999999,960,
111, 금산군 , 일반용 ,1,1,50,640,
112, 금산군 , 일반용 ,2,51,100,880,
113, 금산군 , 일반용 ,3,101,300,1020,
114, 금산군 , 일반용 ,4,301,999999,1190,
115, 금산군 , 특수일반용 ,1,1,999999,640,
116, 금산군 , 손괴일반용 ,1,1,999999,11300,
117, 금산군 , 공업용 ,1,1,999999,650,
118, 금산군 , 욕탕용 ,1,1,300,790,
119, 금산군 , 욕탕용 ,2,301,500,1010,
120, 금산군 , 욕탕용 ,3,501,999999,1140,
121, 금산군 , 정수용 ,1,1,999999,433,
122, 정읍시 , 가정용 ,1,1,10,960,
123, 정읍시 , 가정용 ,2,11,30,990,
124, 정읍시 , 가정용 ,3,31,999999,1040,
125, 정읍시 , 일반용 ,1,1,50,1650,
126, 정읍시 , 일반용 ,2,51,100,1690,
127, 정읍시 , 일반용 ,3,101,999999,1760,
128, 정읍시 , 욕탕용 ,1,1,200,1620,
129, 정읍시 , 욕탕용 ,2,201,500,1660,
130, 정읍시 , 욕탕용 ,3,501,999999,1720,
131, 정읍시 , 산업용 ,1,1,999999,770,
132, 정읍시 , 산업용(일반) ,1,1,999999,1650,
133, 나주시 , 가정용 ,1,1,20,560,
134, 나주시 , 가정용 ,2,21,30,680,
135, 나주시 , 가정용 ,3,31,999999,900,
136, 나주시 , 일반용 ,1,1,100,1050,
137, 나주시 , 일반용 ,2,101,300,1100,
138, 나주시 , 일반용 ,3,301,500,1150,
139, 나주시 , 일반용 ,4,501,999999,1250,
140, 나주시 , 임시용(상) ,1,1,999999,433,
141, 장흥군 , 가정용 ,1,1,20,540,
142, 장흥군 , 가정용 ,3,21,30,990,
143, 장흥군 , 가정용 ,4,31,999999,1520,
144, 장흥군 , 일반용 ,1,1,50,1040,
145, 장흥군 , 일반용 ,2,51,100,1470,
146, 장흥군 , 일반용 ,3,101,300,1860,
147, 장흥군 , 일반용 ,4,301,999999,2140,
148, 장흥군 , 손괴일반용 ,1,1,999999,2140,
149, 장흥군 , 공업용 ,1,1,999999,490,
150, 장흥군 , 욕탕용 ,1,1,300,1120,
151, 장흥군 , 욕탕용 ,2,301,600,1660,
152, 장흥군 , 욕탕용 ,3,601,999999,2110,
153, 장흥군 , 임시용(상) ,1,1,999999,433,
154, 함평군 , 가정용 ,1,1,20,430,
155, 함평군 , 가정용 ,2,21,30,490,
156, 함평군 , 가정용 ,3,31,9999999,680,
157, 함평군 , 일반용 ,1,1,50,660,
158, 함평군 , 일반용 ,2,51,100,850,
159, 함평군 , 일반용 ,3,101,300,990,
160, 함평군 , 일반용 ,4,301,9999999,1220,
161, 함평군 , 대중탕용 ,1,1,200,480,
162, 함평군 , 대중탕용 ,2,201,500,920,
163, 함평군 , 대중탕용 ,3,501,1000,1130,
164, 함평군 , 대중탕용 ,4,1001,9999999,1240,
165, 함평군 , 임시용(상) ,1,1,999999,433,
166, 함평군 ,산업용,1,1,100,660,
167, 함평군 ,산업용,2,101,300,790,
168, 함평군 ,산업용,3,301,1000,900,
169, 함평군 ,산업용,4,1001,9999999,1000,
170, 완도군 , 가정용 ,1,1,20,583,
171, 완도군 , 가정용 ,2,21,30,740,
172, 완도군 , 가정용 ,3,31,9999999,1039,
173, 완도군 , 일반용 ,1,1,50,1072,
174, 완도군 , 일반용 ,2,51,100,1195,
175, 완도군 , 일반용 ,3,101,200,1442,
176, 완도군 , 일반용 ,4,201,300,1597,
177, 완도군 , 일반용 ,5,301,9999999,1860,
178, 완도군 , 대중탕용 ,1,1,200,1027,
179, 완도군 , 대중탕용 ,2,201,500,1423,
180, 완도군 , 대중탕용 ,3,501,9999999,1830,
181, 완도군 , 임시용(상) ,1,1,999999,433,
182, 진도군 , 가정용 ,1,1,10,300,
183, 진도군 , 가정용 ,2,11,20,430,
184, 진도군 , 가정용 ,3,21,30,470,
185, 진도군 , 가정용 ,4,31,9999999,590,
186, 진도군 , 일반용 ,1,1,50,600,
187, 진도군 , 일반용 ,2,51,100,870,
188, 진도군 , 일반용 ,3,101,200,920,
189, 진도군 , 일반용 ,4,201,300,1010,
190, 진도군 , 일반용 ,5,301,9999999,1110,
191, 진도군 , 대중탕용 ,1,1,200,570,
192, 진도군 , 대중탕용 ,2,201,500,960,
193, 진도군 , 대중탕용 ,3,501,9999999,1020,
194, 진도군 ,산업용,1,1,300,850,
195, 진도군 ,산업용,2,301,1000,900,
196, 진도군 ,산업용,3,1001,9999999,950,
197, 청송군 , 가정용 ,1,1,20,220,
198, 청송군 , 가정용 ,2,21,30,360,
199, 청송군 , 가정용 ,3,31,40,390,
200, 청송군 , 가정용 ,4,41,999999,520,
201, 청송군 , 일반용 ,1,1,50,660,
202, 청송군 , 일반용 ,2,51,100,970,
203, 청송군 , 일반용 ,3,101,300,1040,
204, 청송군 , 일반용 ,4,301,999999,1270,
205, 청송군 ,욕탕용,1,1,200,330,
206, 청송군 ,욕탕용,2,201,500,420,
207, 청송군 ,욕탕용,3,501,1000,500,
208, 청송군 ,욕탕용,4,1001,999999,650,
209, 고령군 , 가정용 ,1,1,20,435,
210, 고령군 , 가정용 ,2,21,30,510,
211, 고령군 , 가정용 ,3,31,999999,650,
212, 고령군 , 일반용 ,1,1,30,580,
213, 고령군 , 일반용 ,2,31,100,690,
214, 고령군 , 일반용 ,3,101,999999,840,
215, 고령군 , 공업용 ,1,1,200,230,
216, 고령군 , 공업용 ,2,201,999999,370,
217, 고령군 , 대중탕용 ,1,1,300,630,
218, 고령군 , 대중탕용 ,2,301,500,740,
219, 고령군 , 대중탕용 ,3,501,999999,820,
220, 예천군 , 가정용 ,1,1,10,345,
221, 예천군 , 가정용 ,2,11,30,805,
222, 예천군 , 가정용 ,3,31,9999999,1108,
223, 예천군 , 가정용(도청) ,1,1,10,345,
224, 예천군 , 가정용(도청) ,2,11,30,805,
225, 예천군 , 가정용(도청) ,3,31,9999999,1108,
226, 예천군 , 일반용 ,1,1,20,711,
227, 예천군 , 일반용 ,2,21,50,1296,
228, 예천군 , 일반용 ,3,51,100,1641,
229, 예천군 , 일반용 ,4,101,300,1944,
230, 예천군 , 일반용 ,5,301,9999999,2080,
231, 예천군 , 특수일반용 ,1,1,50,711,
232, 예천군 , 특수일반용 ,2,51,100,1296,
233, 예천군 , 특수일반용 ,3,101,999999,1641,
234, 예천군 , 일반용(도청) ,1,1,20,711,
235, 예천군 , 일반용(도청) ,2,21,50,1296,
236, 예천군 , 일반용(도청) ,3,51,100,1641,
237, 예천군 , 일반용(도청) ,4,101,300,1944,
238, 예천군 , 일반용(도청) ,5,301,9999999,2080,
239, 예천군 , 대중탕용 ,1,1,200,677,
240, 예천군 , 대중탕용 ,2,201,300,951,
241, 예천군 , 대중탕용 ,3,301,500,1301,
242, 예천군 , 대중탕용 ,4,501,9999999,1628,
243, 예천군 , 대중탕용(도청) ,1,1,200,677,
244, 예천군 , 대중탕용(도청) ,2,201,300,951,
245, 예천군 , 대중탕용(도청) ,3,301,500,1301,
246, 예천군 , 대중탕용(도청) ,4,501,9999999,1628,
247, 예천군 , 산업용 ,1,1,9999999,787,
248, 예천군 , 산업용(도청) ,1,1,9999999,787,
272, 통영시 , 가정용 ,1,1,10,620,
273, 통영시 , 가정용 ,2,11,20,870,
274, 통영시 , 가정용 ,3,21,30,870,
275, 통영시 , 가정용 ,4,31,40,1120,
276, 통영시 , 가정용 ,5,41,50,1120,
277, 통영시 , 가정용 ,6,51,999999,1120,
278, 통영시 , 원정수판매용 ,1,1,9999999,413,
285, 통영시 , 욕탕1종 ,1,1,200,980,
286, 통영시 , 욕탕1종 ,2,201,300,1110,
287, 통영시 , 욕탕1종 ,3,301,500,1370,
288, 통영시 , 욕탕1종 ,4,501,999999,1740,
289, 통영시 , 욕탕2종 ,1,1,200,1500,
290, 통영시 , 욕탕2종 ,2,201,500,1950,
291, 통영시 , 욕탕2종 ,3,501,1000,2340,
292, 통영시 , 욕탕2종 ,4,1001,999999,2630,
301, 통영시 , 업무용 ,1,1,20,860,
302, 통영시 , 업무용 ,2,21,50,950,
303, 통영시 , 업무용 ,3,51,100,1180,
304, 통영시 , 업무용 ,4,101,300,1490,
305, 통영시 , 업무용 ,5,301,999999,1920,
311, 통영시 , 영업용 ,1,1,30,1310,
312, 통영시 , 영업용 ,2,31,50,1480,
313, 통영시 , 영업용 ,3,51,100,1850,
314, 통영시 , 영업용 ,4,101,999999,2330,
319, 사천시 , 가정용 ,1,1,10,620,
320, 사천시 , 가정용 ,2,11,30,870,
321, 사천시 , 가정용 ,3,31,999999,1120,
322, 사천시 , 일반용 ,1,1,100,1340,
323, 사천시 , 일반용 ,2,101,300,1730,
324, 사천시 , 일반용 ,3,301,999999,2030,
325, 사천시 , 대중탕용 ,1,1,500,1230,
326, 사천시 , 대중탕용 ,2,501,1000,1680,
327, 사천시 , 대중탕용 ,3,1001,999999,1840,
328, 사천시 , 산업용 ,1,1,300,900,
329, 사천시 , 산업용 ,2,301,500,920,
330, 사천시 , 산업용 ,3,500,999999,970,
331, 사천시 , 학교용 ,1,1,999999,1340,
332, 거제시 , 가정용 ,1,1,10,620,
333, 거제시 , 가정용 ,2,11,30,870,
334, 거제시 , 가정용 ,3,31,999999,1120,
335, 거제시 , 일반용 ,1,1,50,1070,
336, 거제시 , 일반용 ,2,51,300,1490,
337, 거제시 , 일반용 ,3,301,999999,1710,
338, 거제시 , 욕탕용 ,1,1,500,1050,
339, 거제시 , 욕탕용 ,2,501,1000,1370,
340, 거제시 , 욕탕용 ,3,1001,9999999,1580,
341, 거제시 , 학교용 ,1,1,9999999,860,
342, 고성군 , 가정용 ,1,1,10,620,
343, 고성군 , 가정용 ,2,11,30,870,
344, 고성군 , 가정용 ,3,31,999999,2090,
345, 고성군 , 일반용 ,1,1,100,1510,
346, 고성군 , 일반용 ,2,101,300,2180,
347, 고성군 , 일반용 ,3,301,999999,2840,
348, 고성군 , 욕탕용 ,1,1,300,1120,
349, 고성군 , 욕탕용 ,2,301,500,1480,
350, 고성군 , 욕탕용 ,3,501,999999,2170,